trade_name,city,zip,license_start_date,expiration_date,naics_description
DRIP DRIP COFFEEHOUSE INC,SEATTLE,98122-5605,20240710,,Snack and Nonalcoholic Beverage Bars
EAST AFRICAN COFFEE SHOP AND MINI MARKET,SEATTLE,98118-4653,20240119,,All Other General Merchandise Retailers
EAST UNION COFFEE,SEATTLE,98122-5139,20260410,,Snack and Nonalcoholic Beverage Bars
EDEN COFFEE,SEATTLE,98117-5581,20260312,,Other Grocery and Related Products Merchant Wholesalers
PEGASUS COFFEE BAR,SEATTLE,98104-1704,20200401,,Snack and Nonalcoholic Beverage Bars
VENTURE COFFEE,SEATTLE,98107-3205,20160801,,Snack and Nonalcoholic Beverage Bars
ENDICOTT COFFEE ROASTERS LLC,TACOMA,98421-2010,20211101,,Limited-Service Restaurants
ANALOG COFFEE,SEATTLE,98102-5618,20110129,,Snack and Nonalcoholic Beverage Bars
SILVER CUP & URBAN CITY COFFEE,SEATTLE,98134-2360,20140424,,Coffee and Tea Manufacturing
WEAVING COFFEE,SEATTLE,98103-4627,20220801,,All Other Specialty Food Retailers
FILTER & SHOT COFFEE CATERING,SEATTLE,98107-3053,20251101,,Caterers
FORMLINE COFFEE,SEATTLE,98121-3100,20250101,,Full-Service Restaurants
FREMONT COFFEE,SEATTLE,98103,20031101,,Limited-Service Restaurants
FUEL COFFEE,SEATTLE,98112,20070401,,Limited-Service Restaurants
FUEL COFFEE,SEATTLE,98103,20070401,,Limited-Service Restaurants
FUEL COFFEE,SEATTLE,98112,20070401,,Limited-Service Restaurants
GENERAL PORPOISE DOUGHNUTS & COFFEE,SEATTLE,98104-2801,20180315,,Snack and Nonalcoholic Beverage Bars
GEORGES COFFEE CO,SEATTLE,98105-4403,20210201,,Limited-Service Restaurants
GEOTAN COFFEE,SEATTLE,98109-2603,20251001,,Mobile Food Services
VAN GOGH COFFEEHOUSE,SEATTLE,98115-4817,20121001,,Limited-Service Restaurants
GINKGO COFFEE CAMPER,BELLEVUE,98006-3715,20260601,,Mobile Food Services
TURTLE COFFEE,SEATTLE,98109-3907,20231001,,"Cafeterias, Grill Buffets, and Buffets"
GOOD COFFEE COMPANY,SEATTLE,98104,19970101,,All Other Specialty Food Retailers
CARABINER COFFEE COMPANY,SEATTLE,98103-6063,20211001,,All Other Specialty Food Retailers
HAITI COFFEE CO,SPANAWAY,98387-5022,20160401,,Snack and Nonalcoholic Beverage Bars
HERKIMER COFFEE,SEATTLE,98103,20030401,,Coffee and Tea Manufacturing
HERKIMER COFFEE,SEATTLE,98121,20201001,,Coffee and Tea Manufacturing
HERKIMER COFFEE LLC,SEATTLE,98105,20130101,,Coffee and Tea Manufacturing
HIGH LEVEL COFFEE,SEATTLE,98103-8446,20241020,,All Other Specialty Food Retailers
HIGHLANDS COFFEE COMPANY LLC,SEATTLE,98133-8759,20011001,,Other Grocery and Related Products Merchant Wholesalers
HOMAGE COFFEE,SEATTLE,98107-4807,20241202,,Snack and Nonalcoholic Beverage Bars
HOWDY Y'ALL COFFEE,EVERETT,98208-6306,20250307,,Mobile Food Services
BEAN CITY COFFEE,SEATTLE,98125-4424,19990101,,Mobile Food Services
HYDRA HEALTH COFFEE,SEATTLE,98112-5211,20260225,,Snack and Nonalcoholic Beverage Bars
IRWINS COFFEE SHOP,SEATTLE,98103,20060101,,Limited-Service Restaurants
DAILY COFFEE & TEA CO,SEATTLE,98134-2441,20160102,,Snack and Nonalcoholic Beverage Bars
JOCELYN COFFEE ROASTING,LYNNWOOD,98036-7942,20230210,,Coffee and Tea Manufacturing
JUCIVANA COFFEE & SMOOTHIES,SEATTLE,98144,20120224,,Food Service Contractors
REALFINE COFFEE,SEATTLE,98122-2324,20180621,,Snack and Nonalcoholic Beverage Bars
REALFINE COFFEE,SEATTLE,98126-4436,20110203,,Snack and Nonalcoholic Beverage Bars
REALFINE COFFEE,SEATTLE,98126-3405,20201226,,Snack and Nonalcoholic Beverage Bars
KAIRU COFFEE,SEATTLE,98119-1309,20260101,,Snack and Nonalcoholic Beverage Bars
KUMA COFFEE ROASTING COMPANY LLC,SEATTLE,98119-1664,20181001,,Coffee and Tea Manufacturing
HAHA COFFEE & TEA,SEATTLE,98112-5194,20250501,,Snack and Nonalcoholic Beverage Bars
LARON COFFEE,SEATTLE,98104-5114,20250601,,Mobile Food Services
LIL CUP COFFEE,SEATTLE,98103-7241,20250601,,Mobile Food Services
LEON COFFEE HOUSE LLC,SEATTLE,98105-4502,20210801,,All Other Specialty Food Retailers
LEON COFFEE HOUSE LLC,SEATTLE,98104,20250815,,Limited-Service Restaurants
LEYLA COFFEE,KENT,98032-2234,20250620,,Mobile Food Services
CLOUD CITY COFFEE,SEATTLE,98115,20020501,,Retail Bakeries
OFFLINE COFFEE CO,SEATTLE,98102-6324,20251001,,Snack and Nonalcoholic Beverage Bars
LUMINAIRE COFFEE LLC,SEATTLE,98103-8868,20111031,,Engineering Services
WESTMANS BAGEL & COFFEE,SEATTLE,98122,20180129,,Snack and Nonalcoholic Beverage Bars
"MIDDLEBY COFFEE SOLUTIONS GROUP, LLC,   SYNESSO",RENTON,98057-4815,20040702,,Commercial and Service Industry Machinery Manufacturing
MILL ST COFFEE,SEATTLE,98103-6923,20251001,,Mobile Food Services
MONORAIL COFFEE,SEATTLE,98121,20180312,,Snack and Nonalcoholic Beverage Bars
COFFEE SPECIALIST & VENDING,KIRKLAND,98034,19810101,,Vending Machine Operators
MOORE COFFEE LLC,SEATTLE,98101-1102,20150115,,Snack and Nonalcoholic Beverage Bars
ELM COFFEE,SEATTLE,98104-2617,20141101,,Coffee and Tea Manufacturing
MILL ST COFFEE,SEATTLE,98119-2892,20240201,,Mobile Food Services
NIHILANTE COFFEE,SEATTLE,98109-5304,20251001,,Mobile Food Services
NOODLEFISH COFFEE,SEATTLE,98115-7433,20240305,,"Process, Physical Distribution, and Logistics Consulting Services"
MINTISH COFFEE HOUSE,SEATTLE,98102-6282,20250901,,Snack and Nonalcoholic Beverage Bars
KAFFA COFFEE & WINE BAR,SEATTLE,98118-4447,20140815,,Drinking Places (Alcoholic Beverages)
OUTDOOR GRIND COFFEE COMPANY LLC,NORTH BEND,98045-9796,20250414,,Snack and Nonalcoholic Beverage Bars
PARADISE COFFEE 2,SEATTLE,98104,20260325,,Snack and Nonalcoholic Beverage Bars
PARADISE COFFEE NHU Y TEST ACCT,SEATTLE,98104,20250401,,Snack and Nonalcoholic Beverage Bars
MITTEN SWEETS & COFFEE,SEATTLE,98122-5514,20220617,,Baked Goods Retailers
PEETS COFFEE INC,EMERYVILLE,94608-3520,20040427,,Limited-Service Restaurants
SASSY SQUATCH COFFEE,SEATTLE,98126-2893,20230325,,Snack and Nonalcoholic Beverage Bars
PIKE STREET COFFEE,SEATTLE,98101-1570,20220501,,Snack and Nonalcoholic Beverage Bars
PILGRIM COFFEEHOUSE,SEATTLE,98133-9352,20150107,,Mobile Food Services
PORCHLIGHT COFFEE & RECORDS,SEATTLE,98122,20090630,,Snack and Nonalcoholic Beverage Bars
QED COFFEE LLC,SEATTLE,98144-3910,20140601,,Coffee and Tea Manufacturing
QED COFFEE ROASTERS,SEATTLE,98126-3062,20230901,,Snack and Nonalcoholic Beverage Bars
REVOLUTIONS COFFEE,SEATTLE,98115-5302,20170704,,Limited-Service Restaurants
BROWN STUDY COFFEE SPACE,SEATTLE,98125-6809,20170501,,Snack and Nonalcoholic Beverage Bars
OLYMPIA COFFEE ROASTING CO,SEATTLE,98116,20180131,,Snack and Nonalcoholic Beverage Bars
OLYMPIA COFFEE ROASTING CO,SEATTLE,98101-4087,20251216,,Snack and Nonalcoholic Beverage Bars
OLYMPIA COFFEE ROASTING CO,SEATTLE,98118-1718,20251216,,Snack and Nonalcoholic Beverage Bars
SEATTLE COFFEE COLLECTIVE,SEATTLE,98101-1003,20250901,,Food Service Contractors
SEATTLE STRONG COFFEE CO,SEATTLE,98105-4183,20200106,,Other Grocery and Related Products Merchant Wholesalers
SEATTLE SUNSHINE COFFEE LLC,SEATTLE,98105-2300,20160601,,Snack and Nonalcoholic Beverage Bars
FIREHOUSE COFFEE,SEATTLE,98107-4106,20180701,,Snack and Nonalcoholic Beverage Bars
TRUE NORTH COFFEE ROASTERS,SEATTLE,98125,20141001,,Coffee and Tea Manufacturing
MOMENT COFFEE,SEATTLE,98103-8866,20260410,,Snack and Nonalcoholic Beverage Bars
SOHO COFFEE COMPANY,SEATTLE,98122-5883,20081001,,Snack and Nonalcoholic Beverage Bars
PAULS COFFEE LIST,SEATTLE,98103-3134,20250301,,All Other General Merchandise Retailers
STAMP ACT COFFEE,SEATTLE,98107-3736,20220101,,Coffee and Tea Manufacturing
STARBUCKS COFFEE INTERNATIONAL  100,SEATTLE,98134,19951013,,"All Other Professional, Scientific, and Technical Services"
STARBUCKS COFFEE    9303,SEATTLE,98134,20050506,,Limited-Service Restaurants
STARBUCKS COFFEE   100,SEATTLE,98134,19930814,,Limited-Service Restaurants
STARBUCKS COFFEE   112,SEATTLE,98104,19940326,,Limited-Service Restaurants
STARBUCKS COFFEE   114,SEATTLE,98101-4077,19941101,,Limited-Service Restaurants
STARBUCKS COFFEE   11668,SEATTLE,98126,20061106,,Limited-Service Restaurants
STARBUCKS COFFEE   14247,SEATTLE,98134,20080627,,Snack and Nonalcoholic Beverage Bars
STARBUCKS COFFEE   14870,SEATTLE,98101,20090205,,Snack and Nonalcoholic Beverage Bars
STARBUCKS COFFEE   2937,SEATTLE,98101,20040415,,Limited-Service Restaurants
STARBUCKS COFFEE   301,SEATTLE,98101,19890101,,Snack and Nonalcoholic Beverage Bars
STARBUCKS COFFEE   302,SEATTLE,98105,19890101,,Snack and Nonalcoholic Beverage Bars
STARBUCKS COFFEE   314,SEATTLE,98119,19890429,,Snack and Nonalcoholic Beverage Bars
STARBUCKS COFFEE   3202,SEATTLE,98136,19930814,,All Other Specialty Food Retailers
STARBUCKS COFFEE   3204,SEATTLE,98109,19950916,,Limited-Service Restaurants
STARBUCKS COFFEE   3297,SEATTLE,98125,20000527,,Limited-Service Restaurants
STARBUCKS COFFEE   3300,SEATTLE,98133-7506,20001014,,Limited-Service Restaurants
STARBUCKS COFFEE   3324,SEATTLE,98122,20000729,,Limited-Service Restaurants
STARBUCKS COFFEE   3347,SEATTLE,98104,20010101,,Limited-Service Restaurants
STARBUCKS COFFEE   3355,SEATTLE,98109,20020112,,Limited-Service Restaurants
STARBUCKS COFFEE   3363,SEATTLE,98133-9006,20010928,,Limited-Service Restaurants
STARBUCKS COFFEE   3376,SEATTLE,98106,20020418,,Limited-Service Restaurants
STARBUCKS COFFEE   3379,SEATTLE,98101,20031126,,Limited-Service Restaurants
STARBUCKS COFFEE   3408,SEATTLE,98108-2634,20030522,,Limited-Service Restaurants
STARBUCKS COFFEE   3448,SEATTLE,98102-3306,20040813,,Limited-Service Restaurants
STARBUCKS COFFEE   389,SEATTLE,98115,19930814,,All Other Specialty Food Retailers
STARBUCKS COFFEE   7941,SEATTLE,98105,20040930,,Limited-Service Restaurants
STARBUCKS COFFEE   8777,SEATTLE,98125,20050805,,Limited-Service Restaurants
STARBUCKS COFFEE   8890 KIOSK,SEATTLE,98105,20100615,,Snack and Nonalcoholic Beverage Bars
STARBUCKS COFFEE   9447,SEATTLE,98119-3103,20041125,,Limited-Service Restaurants
STARBUCKS COFFEE  101,SEATTLE,98104,19890101,,Snack and Nonalcoholic Beverage Bars
STARBUCKS COFFEE  104,SEATTLE,98101-1474,19900101,,Limited-Service Restaurants
STARBUCKS COFFEE  15253,SEATTLE,98134,20110301,,Snack and Nonalcoholic Beverage Bars
STARBUCKS COFFEE  15719,SEATTLE,98101-3029,20120629,,All Other Specialty Food Retailers
STARBUCKS COFFEE  16741,SEATTLE,98104,20120629,,All Other Specialty Food Retailers
STARBUCKS COFFEE  19475,SEATTLE,98103-4355,20140509,,All Other Specialty Food Retailers
STARBUCKS COFFEE  19991,SEATTLE,98107-3806,20130902,,All Other Specialty Food Retailers
STARBUCKS COFFEE  2810,SEATTLE,98109,20030925,,Limited-Service Restaurants
STARBUCKS COFFEE  2958,SEATTLE,98115-5918,20050715,,Limited-Service Restaurants
STARBUCKS COFFEE  3238,SEATTLE,98122,19980425,,Limited-Service Restaurants
STARBUCKS COFFEE  339,SEATTLE,98116,19910101,,Limited-Service Restaurants
STARBUCKS COFFEE  3394,SEATTLE,98105,20030508,,Limited-Service Restaurants
STARBUCKS COFFEE #61932,SEATTLE,98105,20201009,,Snack and Nonalcoholic Beverage Bars
STARBUCKS COFFEE #65375,SEATTLE,98101,20210701,,Coffee and Tea Manufacturing
STARBUCKS COFFEE #66834,SEATTLE,98125,20210915,,Coffee and Tea Manufacturing
STARBUCKS COFFEE 15407,SEATTLE,98109-5210,20210426,,Snack and Nonalcoholic Beverage Bars
STARBUCKS COFFEE 20088,SEATTLE,98105-5041,20210426,,Snack and Nonalcoholic Beverage Bars
STARBUCKS COFFEE 23730,SEATTLE,98109-4304,20160820,,Limited-Service Restaurants
STARBUCKS COFFEE 24837,SEATTLE,98116-4524,20210426,,Snack and Nonalcoholic Beverage Bars
STARBUCKS COFFEE 25577,SEATTLE,98121-2601,20150930,,Snack and Nonalcoholic Beverage Bars
STARBUCKS COFFEE 318,SEATTLE,98107-4024,20210426,,Snack and Nonalcoholic Beverage Bars
STARBUCKS COFFEE 3298,SEATTLE,98101-1704,20210426,,Snack and Nonalcoholic Beverage Bars
STARBUCKS COFFEE 348,SEATTLE,98199-3246,20210426,,Snack and Nonalcoholic Beverage Bars
STARBUCKS COFFEE 3702,SEATTLE,98112-3160,20210426,,Snack and Nonalcoholic Beverage Bars
STARBUCKS COFFEE 49009,SEATTLE,98106-2829,20170802,,All Other Specialty Food Retailers
STARBUCKS COFFEE 67116,SEATTLE,98118-5044,20250924,,Snack and Nonalcoholic Beverage Bars
STARBUCKS COFFEE 68189,SEATTLE,98109-4049,20221021,,Limited-Service Restaurants
STARBUCKS COFFEE 84480,SEATTLE,98107-4614,20251125,,Snack and Nonalcoholic Beverage Bars
STARFLOWER COFFEE,SEATTLE,98106-1432,20250629,,Coffee and Tea Manufacturing
STONE'S THROW COFFEE AND MARKET,SEATTLE,98103-6668,20250419,,All Other General Merchandise Retailers
STORYVILLE COFFEE COMPANY LLC,SEATTLE,98104-1007,20140123,,Snack and Nonalcoholic Beverage Bars
STORYVILLE COFFEE COMPANY,SEATTLE,98101,20120515,,Snack and Nonalcoholic Beverage Bars
STREET BEAN COFFEE ROASTERS,SEATTLE,98121-1217,20091101,,Snack and Nonalcoholic Beverage Bars
SUNDAYS COFFEE LLC,SEATTLE,98109-2383,20250501,,Limited-Service Restaurants
UGLY MUG CAFE AND COFFEE ROASTERS,SEATTLE,98105-5802,20121001,,Full-Service Restaurants
WONDER COFFEE & SPORTS BAR,SEATTLE,98144,20130115,,Drinking Places (Alcoholic Beverages)
URBAN COFFEE HOUSE,SEATTLE,98101-1107,20161016,,Snack and Nonalcoholic Beverage Bars
VISIBLE COFFEE ROASTERS,SEATTLE,98112-4775,20250815,,Limited-Service Restaurants
PERKING SPOT COFFEE,SNOHOMISH,98296-5106,20240601,,Mobile Food Services
SHOREHOUSE COFFEE & SHAVE ICE,SEATTLE,98107-2663,20230515,,Mobile Food Services
THE STATION COFFEE SHOP,SEATTLE,98144,20180101,,Snack and Nonalcoholic Beverage Bars
TONYS COFFEES & TEAS,BELLINGHAM,98226-8058,19980501,,Limited-Service Restaurants
LULA COFFEE CO,SEATTLE,98134-2131,20230515,,Limited-Service Restaurants
TOWN & COUNTRY COFFEE COMPANY,SEATTLE,98126-2713,20191101,,Coffee and Tea Manufacturing
TRINITY COFFEE CO,BONNEY LAKE,98391-5945,20251017,,Mobile Food Services
HOTWIRE COFFEE HOUSE,SEATTLE,98116-4109,20160818,,Snack and Nonalcoholic Beverage Bars
TRUCUP COFFEE,SEATTLE,98104,20120101,,Coffee and Tea Manufacturing
U CAFE COFFEE CART,EVERETT,98204-4798,20230412,,Mobile Food Services
SOCIAL GROUNDS COFFEE & TEA,SEATTLE,98101-1011,20250115,,"Cafeterias, Grill Buffets, and Buffets"
UPWELL WINE & COFFEE,SEATTLE,98116-4414,20230501,,Full-Service Restaurants
VALENTINA'S COFFEE HOUSE,SEATTLE,98107-4079,20201001,,Snack and Nonalcoholic Beverage Bars
EASTLAKE COFFEE CAFE,SEATTLE,98102-3294,20190320,,Snack and Nonalcoholic Beverage Bars
VASHON COFFEE DUST,VASHON,98070-4060,20260218,,All Other Specialty Food Retailers
VELTONS COFFEE,EVERETT,98203-4114,20110401,,Coffee and Tea Manufacturing
VERITE COFFEE  CUPCAKE ROYALE,SEATTLE,98107-4012,20031209,,Limited-Service Restaurants
SEATTLE COFFEE WORKS - PINE,SEATTLE,98101-1512,20220501,,Drinking Places (Alcoholic Beverages)
SEATTLE COFFEE WORKS -BALLARD,SEATTLE,98107-4012,20220501,,Drinking Places (Alcoholic Beverages)
SEATTLE COFFEE WORKS -THOMAS,SEATTLE,98109-5331,20220501,,Drinking Places (Alcoholic Beverages)
VICTROLA COFFEE,SEATTLE,98144-6330,20180511,,Drinking Places (Alcoholic Beverages)
VICTROLA COFFEE,SEATTLE,98101-1596,20180524,,Drinking Places (Alcoholic Beverages)
VICTROLA COFFEE ROASTERS,SEATTLE,98112-4504,20080201,,Drinking Places (Alcoholic Beverages)
VICTROLA COFFEE ROASTERS,SEATTLE,98122-3610,20071130,,Drinking Places (Alcoholic Beverages)
VOXX COFFEE,SEATTLE,98101-3123,20071015,,Limited-Service Restaurants
BADGER COFFEE,SEATTLE,98199-1209,20220806,,Caterers
WESTSIDE COFFEE,SEATTLE,98126-3637,20241202,,Administrative Management and General Management Consulting Services
HOOT HEARD COFFEE CASSETTE CLUB,DENVER,80238,20220915,,Limited-Service Restaurants
TURTLE COFFEE,SEATTLE,98117-3418,20190607,,"Cafeterias, Grill Buffets, and Buffets"
ZEITGEIST COFFEE,SEATTLE,98104,19971001,,Limited-Service Restaurants
ZOKA COFFEE COMPANY LLC,SEATTLE,98103-6204,20090107,,Snack and Nonalcoholic Beverage Bars
ZOKA COFFEE COMPANY LLC,SEATTLE,98105-3164,20090107,,Snack and Nonalcoholic Beverage Bars
